staffId,name,dob,iban,bic,roleId
140,Leslie Cormier,1978-01-20,GB52HJCZ86854210013245,BCYPGB2LPGB,2
141,Althea Gutkowski,1985-02-28,GB67XSQK47832222689203,BCYPGB2LBBB,2
143,Nanette Roberts,1969-01-04,GB08WUMM09293671993867,BCYPGB2LHHB,3
148,Josefina Prosacco,1961-03-20,GB70BQAU70457502125560,AIBKGB2XTSY,3
149,Jolie Bradtke,1961-04-25,GB40WOTI07985236959319,BOFAGB22SEC,2
151,Scottie Brakus,1958-04-09,GB25ODKU55343109997511,ABNAGB21VOC,4
152,Era Pagac,1969-01-08,GB00ZISY65189340417548,BCYPGB2LMBB,1
154,Candida Smith,2003-01-02,GB26SBTA15606973591833,BRBAGB2LXXX,2
155,Keith Bashirian,1973-04-23,GB45GZLP40023366222634,AAQIGB21,1
160,Royce Russel,1996-12-01,GB43XDPJ84218986936639,ABMNGB21,3
161,Quyen Tremblay,1982-05-21,GB49DQZK13288766743548,BCYPGB2LSSB,4
163,Eloy Stamm,1982-03-14,GB94WSEC31100971536634,BCYPGB2LSSB,2
173,Evan Larson,1964-10-15,GB23PSXH87170236268599,BOFAGB22SEC,1
174,Ricky Roberts,1958-04-23,GB91LAKF35479017784034,AIBKGB2XTSY,4
176,Royce Dach,1981-05-07,GB02UWOJ19036320706919,BSABGB2LXXX,3
177,Autumn Ernser,1989-02-07,GB24SXLS00831063800638,BCYPGB2LMBB,1
181,Sarita Greenholt,1969-10-07,GB78VZCN95056402070198,BOFAGB22SEC,3
183,Mirella Luettgen,2000-05-14,GB18VHCF48274094344569,UBKLGB2LBAK,3
186,Reyes Cassin,2000-12-14,GB70YXZY67553364519711,BSCHGB2LEQU,3
190,Santiago Muller,1999-09-10,GB86IWAA52730168475899,BOFAGB4TIPA,4
191,Emmanuel Prohaska,1995-10-12,GB68WKOO29383095495107,BOFAGB4TLTR,2
193,Alvaro Weimann,1983-11-06,GB26WQCG45256708582889,BSCHGB2LEQU,2
197,Tracy Nolan,1985-12-14,GB67JCHX67255030705038,BARBGB2LLEI,3
198,Junko Gislason,1998-11-27,GB69BCRL75628399910701,BCEYGB2LXXX,1
199,Jarvis Maggio,1986-11-30,GB38ADQO73757099056704,UBKLGB2LXXX,2
201,Marx Leuschke,1967-10-09,GB17RWGU81603995514470,BCYPGB2LBBB,4
206,Jacquie Hahn,1984-03-28,GB38HNVN77496403914738,BOFAGB4TIPA,1
207,Kim Russel,1994-04-19,GB93PPQN03427111892112,ALEIGB22TSY,3
209,James Champlin,1979-12-14,GB88AMTI52673020854343,BARBGB2LHAR,2
211,Annamae Wehner,2001-01-04,GB44WWNR72226717450213,ABDIGB21,3
218,Santo Hills,1958-06-17,GB37KHEL41079911516428,BRBAGB2LXXX,1
219,Emerita Wisozk,1968-05-11,GB70MLLE31844854507109,BCYPGB2LCBB,2
220,Rashad Ziemann,1999-09-05,GB82XAWR57338597684711,BCEYGB2LXXX,3
221,Shaquana Rempel,1985-08-24,GB94MUBM17190663603035,ANTSGB2LXXX,1
223,Magdalen Dibbert,1989-09-14,GB82NYOX73296512618603,BOFAGB4TCCD,3
225,Reid Lehner,1987-09-20,GB82HJYJ27514628395265,BARBGB2LKEN,4
226,Nancee Spencer,1963-03-28,GB51BMUU80005105824076,ABCCGB22,1
229,Mardell McGlynn,1971-01-26,GB05IHNG26518591296369,ABCEGB2L,3
235,Luke Luettgen,1967-08-14,GB69FEVO13799323085050,BCYPGB2LMBB,4
239,Carson Carroll,1999-07-24,GB21OGNQ19656578764086,BOFAGB4TIPA,2
242,Buford Conroy,1996-11-27,GB85VASB86064196512823,BCYPGB2LHGB,4
245,Mario Raynor,1967-11-24,GB92QAOS11875777928022,AKBKGB22XXX,2
251,Bennie Spencer,1998-12-31,GB13TCNV29301073265943,AAPUGB21,2
253,Jessi Schneider,1986-07-22,GB30IEXW35988459810987,ABECGB21,1
254,Luise Leuschke,1999-04-20,GB54EYAF43961303998775,AAHOGB21,2
260,Guillermo Gutmann,1992-09-04,GB00NSYE25909808174944,BCYPGB2LPGB,1
262,Luanna Collins,1984-09-02,GB06JRWF21663302362026,BARBGB2LWEM,3
263,Lauralee Williamson,1978-06-12,GB50ORAA88271035571260,AAHOGB21,3
264,Billy Schiller,1966-08-23,GB15FBNW46106361064761,BOFAGB4TCCD,3
265,Carlton Brekke,1992-06-12,GB53KYOL23699379537776,BCYPGB2LBBB,3
268,Ed Senger,1976-12-09,GB58VBAN89226658213395,ABDIGB21,1
271,Seth Schoen,1986-02-17,GB12CNMG08810025994073,BARBGB2LTOO,4
273,Clifton Gleason,1967-12-10,GB35QIXA71070893506098,BOFAGB3SSWI,3
275,Margret Becker,2002-05-18,GB81DVWU94701976935216,ANTSGB2LXXX,4
278,Joanne Ziemann,2001-02-05,GB79IUEX29901411517346,BARBGB2LKEN,2
279,Markita Lang,1961-03-02,GB72LNZT82005134199193,UBKLGB2LBAK,3
280,Lakesha Jacobson,1993-03-22,GB16CHLP30129504586626,BKCHGB2UXXX,4
281,Richard Smitham,1978-06-24,GB61CQLD98537039076825,ABFIGB21,3
286,Noma Kreiger,1965-06-05,GB37URCV31077452213083,BSABGB2LXXX,4
291,Ellis Murphy,1980-05-28,GB91HZFA74863292613872,BARBGB2LKEN,2
292,Chana Runolfsdottir,1981-10-15,GB02GLWW00629724502045,UBKLGB2LBAK,3
293,Charlyn Harris,1968-10-18,GB82MRSO10976367246513,BCYPGB2LMBB,3
296,Kurt Dibbert,2003-09-16,GB70BXJC98529333415690,ABBEGB21,4
297,Kyle Herman,1979-10-21,GB45SWWV65883222447496,BCYPGB2LCSB,2
298,Lorenzo Will,1985-11-29,GB95DUHL01106945496092,AIBKGB2XTSY,1
300,Junko Blanda,1984-11-28,GB55ECCI27681943552413,BOFAGB4TIPA,4
302,Cary Beatty,1968-04-27,GB21AWZX39530849623512,ANTSGB2LCHA,2
306,Maren Moore,1996-04-11,GB34IXOE09052502094150,ABBYGB2L,4
308,Roseline Jacobi,1958-10-10,GB22JMCG75349293299324,BOFAGB4TIPA,4
309,Cherlyn Koepp,1973-06-04,GB22IQQG23431684835478,ASTPGB2LXXX,1
310,My Schaefer,1962-04-16,GB53VHXY47777604981466,BOFAGB4TIPA,3
312,Jessika Kling,1997-02-25,GB14LSVJ51479057766494,AIBKGB2XTSY,1
313,Peggy Maggio,1970-12-21,GB18GWTO74196264110446,BCYPGB2LCBB,1
314,Wilson Durgan,1971-10-14,GB75RKAH26591122206664,BOFAGB4TCCD,1
315,Johnson Connelly,1982-04-23,GB70ZDJS85044035206092,BARBGB2LWEM,2
316,Glynis Kihn,1991-04-28,GB54EDQZ43797101888275,BOFAGB22OF2,1
318,Winfred Dibbert,1993-06-28,GB90MPRB02866286298245,ABAZGB21,3
320,Ilda Spinka,1985-01-18,GB53WUAT54464473700585,UBKLGB2LBAK,4
321,Clifton Dooley,1974-08-27,GB16UHLC32299347006143,BARBGB2LKEN,1
322,Vella Altenwerth,1959-10-28,GB37OUGN96362439079882,BOFAGB22XXX,2
323,Nicholas Mertz,1983-02-12,GB54IWTO90065286341923,BOFAGB4TCDO,2
324,Hang Muller,1998-09-19,GB49VNSE78610138519613,BCYPGB2LXXX,4
330,Christian Cummings,1978-10-31,GB42YVWL91685131924615,AACCGB21,1
333,Johnie Jacobi,1966-12-14,GB94EVHL52135366712909,AANLGB2L,1
335,Karlyn Wuckert,1968-05-19,GB04NMRI69140606117340,BARBGB2LHAR,2
343,Kim Cormier,1978-06-10,GB56KRMR85768072537308,BCEYGB2LXXX,2
349,Raymond Luettgen,2003-10-03,GB72RPRN15357469606200,ABDIGB21,2
356,Marlana Schmitt,1967-12-26,GB74RKVA49130710136014,BKCHGB2LXXX,2
357,August Blanda,1958-11-07,GB02RBPS78918948314709,ABECGB21,3
360,Hildegarde Kertzmann,1959-06-11,GB36DLAX06490893415041,BCYPGB2LMBB,4
366,Tawnya Hyatt,1965-08-03,GB17KAKR50141723831870,ABBEGB21,2
367,Tequila Emmerich,1987-04-01,GB06DCSW97790727357715,AKBKGB22XXX,1
372,Bunny Kilback,1971-02-09,GB80QCAY09507481240532,BSABGB2LXXX,2
373,Elfriede Jacobi,1995-09-25,GB31IFPX90423907352124,ABNAGB21VOC,4
377,Jerry Rempel,1989-02-22,GB87RCBN53791063991064,BOFAGB4TLTR,3
384,Ranee Bartell,1974-07-26,GB01YWJA72052400428829,BARBGB2LBIR,1
386,Rubi Fritsch,1970-01-31,GB77BPVY06703409069655,BSABGB2LXXX,3
390,Kenna Ferry,1994-09-22,GB78SLAB80969820069354,BARBGB2LKIL,4
396,Florinda Prosacco,1993-08-12,GB41AUIV64749023438373,AKBKGB22XXX,2
403,Stevie Powlowski,1974-04-06,GB47MPTC99896003728480,BARBGB2LLEI,3
404,Edna Ortiz,1997-06-26,GB18ELGL36039636565048,BCYPGB2LCSB,1
406,Frankie Russel,2004-02-21,GB52PZMR99168879708814,BKCHGB2LXXX,3
409,Chance Gorczany,1959-01-29,GB79PPWI12566603159198,ASTPGB2LXXX,1
414,Michael Carter,1987-07-23,GB34SFTB98334800926096,BCYPGB2LCSB,3
421,Roman Nolan,1994-10-14,GB15VDAF88477079361438,AAPUGB21,3
422,Roosevelt Lind,2003-11-01,GB75VDPY08273138633156,MORLGB2LSMK,3
424,Gayla Hilpert,1967-01-01,GB10IYLT57324632437626,BCYPGB2LHGB,2
425,Jeanette Jacobi,1963-02-27,GB54GVLY70250424583368,BCEYGB2LXXX,4
429,Tyson Bernier,1987-01-29,GB95CHGF68420957192643,BCYPGB2LHHB,3
430,Georgine Boyle,1982-08-01,GB32ZWMU21260218944063,BKCHGB2LXXX,1
431,Mason Fahey,1965-05-20,GB34KJGK14413091739827,BCYPGB2LPGB,2
433,King Heaney,1968-10-15,GB17SXNT72071823673394,ABAZGB21,1
437,Osvaldo Wisoky,1972-06-11,GB51RGYQ49033418528530,UBKLGB2LXXX,4
439,Claretha Beier,1974-01-24,GB17SDUM14959436448069,BCYPGB2LSSB,4
440,Demetria Schmitt,1964-02-07,GB89NNVJ54845695863663,ASTPGB2LXXX,4
442,George Abernathy,1984-10-02,GB00BCCR18231392388996,BOFAGB4TCDO,2
447,Nickolas Howe,1976-02-08,GB86BRUQ04702361093153,UBKLGB2LXXX,2
448,Cammy Muller,1984-03-28,GB04SKFC31409034650989,UBKLGB2LXXX,2
449,Ike Ruecker,1986-01-26,GB46WFSE63089961441180,ASTPGB2LXXX,3
456,Adrianna Dickinson,1987-08-09,GB78MYGW38696733074867,BOFAGB22OF2,3
457,Jerrie Labadie,1994-12-10,GB47KDFE10105521463798,BRBAGB2LXXX,3
458,Marcel Lebsack,1994-10-13,GB22STYO02079918033997,AIBKGB2XTSY,1
459,Moshe Keebler,1993-08-03,GB55BDUF11490242201350,BRBAGB2LXXX,1
460,Efren Stoltenberg,1976-07-23,GB36AKGB65642692847818,BCYPGB2LMBB,4
461,Tangela Macejkovic,1984-06-01,GB86FLOZ05076268461191,BARBGB2LHAR,1
462,Erika Wuckert,1996-09-04,GB68XNMT42931830204463,AAPUGB21,4
463,Cordie Boyer,2002-02-14,GB51BNED64923491051047,BCYPGB2LHHB,1
465,Phyllis Kozey,1991-01-20,GB61DICT11998888045934,ABCCGB22,3
474,Patricia Collier,2004-07-22,GB59OZLT98945727739997,BARBGB2LLEI,2
476,Deangelo Herzog,1959-11-23,GB74ACOA59973202032648,ABNAGB21VOC,2
478,Earle Mohr,1978-07-26,GB25IZTM25490432605241,UBKLGB2LBAK,1
483,Tonie Harber,1994-02-22,GB74LSMD34310759229259,BOFAGB4TCCD,4
485,Francisca Reinger,1963-10-30,GB96MJUQ10456090300226,BCYPGB2LSSB,4
486,Rod Klocko,1984-08-30,GB42BGMY93659098949023,BCYPGB2LHHB,4
488,Cary Monahan,2002-08-05,GB02ELWE14707152246450,BKCHGB2UXXX,1
495,Francis Johns,1997-01-30,GB04ORUU51864585813658,AAHOGB21,4
499,Tai Gorczany,1979-10-31,GB65GBYV05951692415736,BCYPGB2LPGB,2
500,Rhett Lockman,1991-01-02,GB00QALG59442278795275,ASTPGB2LXXX,4
